date,original_title,parody_title,setup,punchline,humor_lesson,disclaimer,source_url
2025-08-25,"뉴욕증시, 파월이 되살린 금리인하 기대에 3대지수 1%대↑(종합)",파월 1% 선물에 개미들 97% 환호,"9호선 출근길, 파월 발언 뉴스 보자마자 미국 주식 앱을 열었다.",나: (속마음) '드디어 내 테슬라가 살았나?' 옆 직장인: '또 주식?' 나: '이건 경제공부야!',"시장은 파월 한 마디에 춤추지만, 내 통장은 여전히 조용하다는 진리를 기억하자.","면책조항:패러디/특정기관,개인과 무관/투자조언아님/재미목적",https://www.yna.co.kr/view/AKR20250823006151075
2025-08-25,"이더리움, 되살아난 금리인하 가능성에 14%↑…'사상 최고가'(종합2보)",이더리움 14% 급등? 파월이 뭐라고?,점심시간에 동료들이 '이더리움이 뭐냐'며 핸드폰 화면을 보여줬다.,친구: '너 코인 해?' 나: '아니 그냥 구경만...' 엄마: '얘야 그거 도박이야!' 나: '이건 기술투자라고요!',"파월 의장 한 마디에 코인이 춤추는 세상, 결국 정보보다 운이 더 중요할지도 모른다.","면책조항:패러디/특정기관,개인과 무관/투자조언아님/재미목적",https://www.yna.co.kr/view/AKR20250823000652091
2025-08-25,"비트코인, 파월 금리인하 가능성 시사에 급반등…11만6천달러대","파월 vs 비트코인, 승자는 누구?",퇴근 후 집에서 소파에 누워 비트코인 차트를 확인했다.,아내 카톡: '저녁 뭐 먹을까?' 내 답장: '비트코인이 11만달러 넘었어!!!' 아내: '그래서 저녁은?',"파월의 한 마디가 시장을 움직이지만, 집에서는 여전히 아내 말이 최고 권력이다.","면책조항:패러디/특정기관,개인과 무관/투자조언아님/재미목적",https://www.yna.co.kr/view/AKR20250823000600091
2025-08-25,"코스피, 미국발 훈풍에 장초반 상승 출발…코스닥도 강세(종합)",카페서 코스피 보고 아아 뿜었다,토요일 홍대 카페에서 친구와 주식 고민하다 파월 뉴스를 봤다.,기자: '투자자 심리는?' 나: '파월 덕분에 아메리카노가 더 달콤해졌어요!' 친구: '그게 무슨 답변이야?',"미국발 훈풍보다 중요한 건 내 통장의 현실풍, 남의 떡이 더 커보이는 착시현상을 조심하자.","면책조항:패러디/특정기관,개인과 무관/투자조언아님/재미목적",https://www.yna.co.kr/view/AKR20250825032551008
2025-08-25,대신證 'HBM협상 내달 마무리 전망…삼전·하이닉스 매수 의견',화장실서 HBM 뉴스에 화들짝,회사 화장실에서 몰래 삼성전자 주가 확인하다가 HBM 뉴스를 발견했다.,광고 문구 패러디: '지금 주문하면 하이닉스도 무료증정!' 옆 칸 동료: '뭘 그렇게 웃어?' 나: '좋은 소식이요!',화장실이 제일 솔직한 투자 공간이다. 밖에서는 쿨한 척하지만 여기서는 진짜 감정이 나온다.,"면책조항:패러디/특정기관,개인과 무관/투자조언아님/재미목적",https://www.yna.co.kr/view/AKR20250825020900008
2025-08-25,"삼성전자, 3분기 반등하나…증권가, 잇단 호재에 목표가 상향",새벽 4시 삼성전자 확인하는 내가,새벽 4시 미국 장 마감 확인하려다 삼성전자 목표가 상향 뉴스를 봤다.,"영화 '올드보이' 패러디: '삼성아, 15년 동안 너를 기다렸다.' 핸드폰 진동: '카드값 결제 안내'",목표가 상향은 좋지만 내 목표 수익률 달성이 더 중요하다. 남의 분석보다 내 판단을 믿어라.,"면책조항:패러디/특정기관,개인과 무관/투자조언아님/재미목적",https://www.yna.co.kr/view/AKR20250822131200008
2025-08-25,트럼프가 인텔 구했나?…'파운드리 고객 확보가 더 중요',"인텔 47% 반등, 트럼프 손길 실화?",5호선 출근길에서 인텔 뉴스 보자마자 반도체 ETF 수익률을 확인했다.,나: (속마음) '미국 정부가 직접 투자라고?' 카톡 단톡방: '인텔 사야하나?' 내 답장: '이미 늦었을걸?',정부 구제금융은 주가엔 호재지만 실적은 별개다. 뉴스보다 기업 펀더멘털을 먼저 보자.,"면책조항:패러디/특정기관,개인과 무관/투자조언아님/재미목적",https://www.yna.co.kr/view/AKR20250825049800009
2025-08-25,"'美정부 우군' 인텔, 정상화길 걷나…韓업체에도 '지분참여' 눈독?",인텔에 미국 정부가 투자한다고?,점심시간에 동료가 '인텔이 망했다더니 갑자기 왜 오르냐'고 물어봤다.,친구: '정부가 투자하면 무조건 오르는 거야?' 나: '우리나라도 내 주식에 투자해줬으면...' 아내: '꿈 깨!',"정부 지원은 단기 호재일 뿐, 결국 기업의 실력이 주가를 결정한다는 걸 잊지 말자.","면책조항:패러디/특정기관,개인과 무관/투자조언아님/재미목적",https://www.yna.co.kr/view/AKR20250823022100091
2025-08-25,"메리츠증권 ""美, 9월 금리 인하 후 12월에 '한 번 더' 가능성""",금리인하 2연타? VS 한방에 끝?,퇴근 후 침대에 누워 미국 금리 뉴스를 스크롤하고 있었다.,인스타 스토리: '금리 2번 내린다는데 내 적금은 언제 오르나요???' 댓글: '그건 영원히 안 올라요ㅋㅋ',"금리는 내려도 내 통장 잔고는 그대로인 이상한 경제학, 결국 투자보다 절약이 답일지도 모른다.","면책조항:패러디/특정기관,개인과 무관/투자조언아님/재미목적",https://www.yna.co.kr/view/AKR20250825022600008
2025-08-25,"이더리움, 사상 첫 4천900달러 돌파 후 숨고르기(종합)",카페서 이더 4900달러에 라떼 뿜음,토요일 강남 카페에서 친구와 투자 고민하다 이더리움 신고가 알림이 떴다.,기자: '4900달러 돌파 소감은?' 나: '라떼값이 더 비싸보여요...' 친구: '그게 뭔 답변이야?',가상화폐가 천정부지로 올라도 내 지갑 속 현금은 여전히 현실적이다.,"면책조항:패러디/특정기관,개인과 무관/투자조언아님/재미목적",https://www.yna.co.kr/view/AKR20250825002351091
